Site ID,Project Name,Category,Primary Buyer,Target Org Type,Current URL,Vercel Path,GitHub Folder,Demo Status,Branding Status,AI Logic Status,Lead Quality,Priority,Owner,Assigned Agent,Next Action,Last Iteration Date,Notes
1,Civic Insight Engine,GovTech,City of Ashtabula Building Department,Municipality,https://new-ashtabula-initiative.vercel.app/civic-insight/,/civic-insight/,websites/civic-insight-engine/,Needs Triage,Targeted,Stub,Unknown,High,Michael A. Vega,,Add municipal branding + ingest council minutes; QA AI outputs;,Municipal transparency dashboard
2,Permit Whisperer,GovTech,City of Ashtabula Building Department,Municipality,https://new-ashtabula-initiative.vercel.app/permits/,/permits/,websites/permit-whisperer/,Needs Triage,Targeted,Stub,Unknown,High,Michael A. Vega,,Add city seal, schedule building dept pilot & test localized permit rules;,AI permit guidance assistant
3,Zoning Clerk,GovTech,City of Ashtabula Building Department,Municipality,https://new-ashtabula-initiative.vercel.app/zoning/,/zoning/,websites/zoning-clerk/,Needs Triage,Targeted,Stub,Unknown,High,Michael A. Vega,,Map local zoning codes + add legal disclaimer; fix layout;,Zoning guidance tool
4,Eligibility Screener,GovTech,City of Ashtabula Building Department,Social Services,https://new-ashtabula-initiative.vercel.app/eligibility/,/eligibility/,websites/eligibility-screener/,Needs Triage,Targeted,Stub,Unknown,High,Michael A. Vega,,Add privacy notice, source list of rules, test case & schedule demo;,Benefits eligibility wizard
6,Eligibility Pro,GovTech,City of Ashtabula Building Department,Social Services,https://new-ashtabula-initiative.vercel.app/eligibility-pro/,/eligibility-pro/,websites/eligibility-pro/,Needs Triage,Generic,Stub,Unknown,High,Michael A. Vega,,Add local data & privacy docs; demo for county social services;,Advanced benefits analysis
7,License Wizard,GovTech,City of Ashtabula Building Department,Business Licensing,https://new-ashtabula-initiative.vercel.app/license/,/license/,websites/license-wizard/,Needs Triage,Generic,Stub,Unknown,High,Michael A. Vega,,Add local license rules & admin export; fix alignment;,Business licensing guide
8,Event Permit Express,GovTech,City of Ashtabula Building Department,Municipality,https://new-ashtabula-initiative.vercel.app/event-permit/,/event-permit/,websites/event-permit-express/,Needs Triage,Generic,Stub,Unknown,High,Michael A. Vega,,Add flow for special events, connect calendar & test submission;,Special event permits
9,GovTech Box,GovTech,City of Ashtabula Building Department,Municipality,https://new-ashtabula-initiative.vercel.app/govtech/,/govtech/,websites/govtech-box/,Needs Triage,Generic,Stub,Unknown,High,Michael A. Vega,,Define admin portal & demo use cases;,Government tech portal
10,GrantGenius,GovTech,City of Ashtabula Building Department,Nonprofit/Business,https://new-ashtabula-initiative.vercel.app/grantgenius/,/grantgenius/,websites/grantgenius/,Needs Triage,Generic,Stub,Unknown,High,Michael A. Vega,,Add grant feed & searchable filters; prepare pitch pack;,Municipal grant finder
11,Invest Ashtabula,Business & Investment,Ashtabula Area Chamber of Commerce,Economic Development,https://new-ashtabula-initiative.vercel.app/invest/,/invest/,websites/invest-ashtabula/,Needs Triage,Targeted,Stub,Unknown,High,Michael A. Vega,,Add investor case studies & 'Request investment pack' CTA;,Investment attraction portal
12,Blueprint Analyzer,Business & Investment,Ashtabula Area Chamber of Commerce,Construction/Developers,https://new-ashtabula-initiative.vercel.app/blueprint/,/blueprint/,websites/blueprint-analyzer/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add parsing demo for one blueprint & engineer review;,Construction document AI
13,Box Builder,Business & Investment,Ashtabula Area Chamber of Commerce,Manufacturing/Packaging,https://new-ashtabula-initiative.vercel.app/box-builder/,/box-builder/,websites/box-builder/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Fix left align; add brand templates & sample outputs;,Packaging design tool
14,BoxFlow Estimator,Business & Investment,Ashtabula Area Chamber of Commerce,Logistics,https://new-ashtabula-initiative.vercel.app/boxflow/,/boxflow/,websites/boxflow-estimator/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add pricing model & sample shipment calc;,Logistics cost estimator
15,CashFlow Tracker,Business & Investment,Ashtabula Area Chamber of Commerce,Small Business,https://new-ashtabula-initiative.vercel.app/cashflow/,/cashflow/,websites/cashflow-tracker/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add sample business data & onboarding flow;,Business finance tracking
16,Parts Finder,Business & Investment,Ashtabula Area Chamber of Commerce,Industrial,https://new-ashtabula-initiative.vercel.app/parts/,/parts/,websites/parts-finder/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Connect parts index or placeholder, add 'request quote' ,;Industrial parts locator
17,Parts Request,Business & Investment,Ashtabula Area Chamber of Commerce,Industrial procurement,https://new-ashtabula-initiative.vercel.app/parts-request/,/parts-request/,websites/parts-finder-request/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add form to submit part requests & vendor matching;,Custom parts sourcing
18,Plating Tracker,Business & Investment,Ashtabula Area Chamber of Commerce,Manufacturing,https://new-ashtabula-initiative.vercel.app/plating/,/plating/,websites/plating-tracker/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add sample QA flows & data; fix layout;,Quality tracking system
19,Plating Tracker Pro,Business & Investment,Ashtabula Area Chamber of Commerce,Advanced Manufacturing,https://new-ashtabula-initiative.vercel.app/plating-pro/,/plating-pro/,websites/plating-tracker-pro/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add analytics & export; brand for chamber;,Advanced plating analytics
20,Contractor Match,Home & Property,Ashtabula Area Chamber of Commerce,Contractors,https://new-ashtabula-initiative.vercel.app/contractors/,/contractors/,websites/contractor-match/,Needs Triage,Targeted,Stub,Unknown,High,Michael A. Vega,,Add contractor verification & booking; prepare chamber pitch;,Vetted contractor network
21,Fence Quote,Home & Property,Ashtabula Area Chamber of Commerce,Contractors,https://new-ashtabula-initiative.vercel.app/fence-quote/,/fence-quote/,websites/fence-quote/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add local fence pricing & 'request quote' form;,Instant fence estimates
22,Landlord Repair Queue,Home & Property,Ashtabula Area Chamber of Commerce,Property managers,https://new-ashtabula-initiative.vercel.app/landlord/,/landlord/,websites/landlord-repair-queue/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add property listing & tenant request form; improve UI;,Maintenance management
23,Lawn Quote Tool,Home & Property,Ashtabula Area Chamber of Commerce,Landscaping,https://new-ashtabula-initiative.vercel.app/lawn/,/lawn/,websites/lawn-quote-tool/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add sample estimates & photo upload; fix layout;,Landscaping estimates
24,HVAC Tuneup,Home & Property,Ashtabula Area Chamber of Commerce,HVAC contractors,https://new-ashtabula-initiative.vercel.app/hvac/,/hvac/,websites/hvac-tuneup/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add scheduling & parts list; test UX;,HVAC service scheduler
25,Snow Plow Tracker,Home & Property,Ashtabula Area Chamber of Commerce,Public Works/Contractors,https://new-ashtabula-initiative.vercel.app/snow-plow/,/snow-plow/,websites/snow-plow-tracker/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add driver tracking & coordination features; mobile fix;,Snow removal coordination
26,Instant Dirt Quote,Home & Property,Ashtabula Area Chamber of Commerce,Excavation contractors,https://new-ashtabula-initiative.vercel.app/dirt-quote/,/dirt-quote/,websites/instant-dirt-quote/,Needs Triage,Generic,Stub,Unknown,Medium,Michael A. Vega,,Add sample price tables & contact flow;,Excavation quotes
